model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
A2411,mob,apple,Apple,D54pAP,"iPhone13,4",iPhone 12 Pro Max,其他国家和地区,apple_all
A2481,mob,apple,Apple,D16AP,"iPhone14,4",iPhone 13 mini,美国,apple_all
A2626,mob,apple,Apple,D16AP,"iPhone14,4",iPhone 13 mini,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2629,mob,apple,Apple,D16AP,"iPhone14,4",iPhone 13 mini,中国大陆,apple_all
A2630,mob,apple,Apple,D16AP,"iPhone14,4",iPhone 13 mini,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2628,mob,apple,Apple,D16AP,"iPhone14,4",iPhone 13 mini,其他国家和地区,apple_all
A2482,mob,apple,Apple,D17AP,"iPhone14,5",iPhone 13,美国,apple_all
A2631,mob,apple,Apple,D17AP,"iPhone14,5",iPhone 13,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2634,mob,apple,Apple,D17AP,"iPhone14,5",iPhone 13,中国大陆 & 港澳,apple_all
A2635,mob,apple,Apple,D17AP,"iPhone14,5",iPhone 13,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2633,mob,apple,Apple,D17AP,"iPhone14,5",iPhone 13,其他国家和地区,apple_all
A2483,mob,apple,Apple,D63AP,"iPhone14,2",iPhone 13 Pro,美国,apple_all
A2636,mob,apple,Apple,D63AP,"iPhone14,2",iPhone 13 Pro,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2639,mob,apple,Apple,D63AP,"iPhone14,2",iPhone 13 Pro,中国大陆 & 港澳,apple_all
A2640,mob,apple,Apple,D63AP,"iPhone14,2",iPhone 13 Pro,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2638,mob,apple,Apple,D63AP,"iPhone14,2",iPhone 13 Pro,其他国家和地区,apple_all
A2484,mob,apple,Apple,D64AP,"iPhone14,3",iPhone 13 Pro Max,美国,apple_all
A2641,mob,apple,Apple,D64AP,"iPhone14,3",iPhone 13 Pro Max,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2644,mob,apple,Apple,D64AP,"iPhone14,3",iPhone 13 Pro Max,中国大陆 & 港澳,apple_all
A2645,mob,apple,Apple,D64AP,"iPhone14,3",iPhone 13 Pro Max,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2643,mob,apple,Apple,D64AP,"iPhone14,3",iPhone 13 Pro Max,其他国家和地区,apple_all
A2595,mob,apple,Apple,D49AP,"iPhone14,6",iPhone SE (第 3 代),北美,apple_all
A2782,mob,apple,Apple,D49AP,"iPhone14,6",iPhone SE (第 3 代),日本,apple_all
A2784,mob,apple,Apple,D49AP,"iPhone14,6",iPhone SE (第 3 代),"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2785,mob,apple,Apple,D49AP,"iPhone14,6",iPhone SE (第 3 代),中国大陆,apple_all
A2783,mob,apple,Apple,D49AP,"iPhone14,6",iPhone SE (第 3 代),其他国家和地区,apple_all
A2649,mob,apple,Apple,D27AP,"iPhone14,7",iPhone 14,美国,apple_all
A2881,mob,apple,Apple,D27AP,"iPhone14,7",iPhone 14,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2883,mob,apple,Apple,D27AP,"iPhone14,7",iPhone 14,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2884,mob,apple,Apple,D27AP,"iPhone14,7",iPhone 14,中国大陆 & 港澳,apple_all
A2882,mob,apple,Apple,D27AP,"iPhone14,7",iPhone 14,其他国家和地区,apple_all
A2632,mob,apple,Apple,D28AP,"iPhone14,8",iPhone 14 Plus,美国,apple_all
A2885,mob,apple,Apple,D28AP,"iPhone14,8",iPhone 14 Plus,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2887,mob,apple,Apple,D28AP,"iPhone14,8",iPhone 14 Plus,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2888,mob,apple,Apple,D28AP,"iPhone14,8",iPhone 14 Plus,中国大陆 & 港澳,apple_all
A2886,mob,apple,Apple,D28AP,"iPhone14,8",iPhone 14 Plus,其他国家和地区,apple_all
A2650,mob,apple,Apple,D73AP,"iPhone15,2",iPhone 14 Pro,美国,apple_all
A2889,mob,apple,Apple,D73AP,"iPhone15,2",iPhone 14 Pro,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A2891,mob,apple,Apple,D73AP,"iPhone15,2",iPhone 14 Pro,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2892,mob,apple,Apple,D73AP,"iPhone15,2",iPhone 14 Pro,中国大陆 & 港澳,apple_all
A2890,mob,apple,Apple,D73AP,"iPhone15,2",iPhone 14 Pro,其他国家和地区,apple_all
A2651,mob,apple,Apple,D74AP,"iPhone15,3",iPhone 14 Pro Max,美国,apple_all
A2893,mob,apple,Apple,D74AP,"iPhone15,3",iPhone 14 Pro Max,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
